net.sta,p_sta,p_lta,p_fmin,p_fmax,p_snr,trig_on,best_f1
CM.BAR2,0.25459138849983143,53.26033630389959,2,9,1,3.8801112077674187,0.6680769230769231
CM.PDSC,0.20731404287892677,13.309926958007393,7,15,4,11.167031797521306,0.205
CM.PAM,0.672574863179711,74.79847835121203,4,11,1,2.8507894826771256,0.7133333333333335
CM.BAR2,0.52,76.41,5,6,2,3.83,0.7220000000000002
