net.sta,s_snr,s_fmin,s_fmax,best_f1
CM.BAR2,2.7090009351467703,3,13.0,0.8134782608695652
CM.PDSC,2.1908123297085935,3,6.0,0.2944444444444444
CM.PAM,2.965240164895411,1,2.0,0.7690476190476191
CM.BAR2,1.92,3,13.0,0.8436363636363635
